"ST","CTY","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,45,"23822",282807,5257,2013
17,45,"23829",26936,556,2013
17,45,"2383",894331,23342,2013
17,45,"2389",764732,15970,2013
17,45,"484",3051908,35936,2013
17,45,"4841",2944838,34314,2013
17,45,"48411",668734,8989,2013
17,45,"4842",93381,1464,2013
17,45,"4853",615023,18581,2013
17,47,"23",4559957,91006,2013
17,47,"236",1890901,31148,2013
17,47,"2361",1713160,28345,2013
17,47,"237",85386,1033,2013
17,47,"2373",7950,143,2013
17,47,"23731",7950,143,2013
17,47,"238",2574210,58685,2013
17,47,"2381",374668,8041,2013
17,47,"2382",528225,11025,2013
17,47,"23821",199629,4880,2013
17,47,"23822",282807,5257,2013
17,47,"2383",894331,23342,2013
17,47,"2389",764732,15970,2013
17,47,"484",3051908,35936,2013
17,47,"4841",2944838,34314,2013
17,47,"48411",668734,8989,2013
17,47,"4842",93381,1464,2013
17,49,"23",4559957,91006,2013
17,49,"236",1890901,31148,2013
17,49,"2361",1713160,28345,2013
17,49,"237",85386,1033,2013
17,49,"2371",3849,90,2013
17,49,"2372",35876,233,2013
17,49,"23721",35876,233,2013
17,49,"2379",21179,303,2013
17,49,"23799",21179,303,2013
17,49,"238",2574210,58685,2013
17,49,"2381",374668,8041,2013
17,49,"2382",528225,11025,2013
17,49,"23821",199629,4880,2013
17,49,"23822",282807,5257,2013
17,49,"23829",26936,556,2013
17,49,"2383",894331,23342,2013
17,49,"2389",764732,15970,2013
17,49,"484",3051908,35936,2013
17,49,"4841",2944838,34314,2013
17,49,"48411",668734,8989,2013
17,49,"4842",93381,1464,2013
17,49,"4853",615023,18581,2013
17,51,"23",4559957,91006,2013
17,51,"236",1890901,31148,2013
17,51,"2361",1713160,28345,2013
17,51,"237",85386,1033,2013
17,51,"2371",3849,90,2013
17,51,"2373",7950,143,2013
17,51,"23731",7950,143,2013
17,51,"2379",21179,303,2013
17,51,"23799",21179,303,2013
17,51,"238",2574210,58685,2013
17,51,"2381",374668,8041,2013
17,51,"2382",528225,11025,2013
17,51,"23821",199629,4880,2013
17,51,"23822",282807,5257,2013
17,51,"23829",26936,556,2013
17,51,"2383",894331,23342,2013
17,51,"2389",764732,15970,2013
17,51,"484",3051908,35936,2013
17,51,"4841",2944838,34314,2013
17,51,"48411",668734,8989,2013
17,51,"4842",93381,1464,2013
17,51,"4853",615023,18581,2013
17,53,"23",4559957,91006,2013
17,53,"236",1890901,31148,2013
17,53,"2361",1713160,28345,2013
17,53,"237",85386,1033,2013
17,53,"2371",3849,90,2013
17,53,"2379",21179,303,2013
17,53,"23799",21179,303,2013
17,53,"238",2574210,58685,2013
17,53,"2381",374668,8041,2013
17,53,"2382",528225,11025,2013
17,53,"23821",199629,4880,2013
17,53,"23822",282807,5257,2013
17,53,"23829",26936,556,2013
17,53,"2383",894331,23342,2013
17,53,"2389",764732,15970,2013
17,53,"484",3051908,35936,2013
17,53,"4841",2944838,34314,2013
17,53,"48411",668734,8989,2013
17,53,"4842",93381,1464,2013
17,55,"23",4559957,91006,2013
17,55,"236",1890901,31148,2013
17,55,"2361",1713160,28345,2013
17,55,"237",85386,1033,2013
17,55,"2371",3849,90,2013
17,55,"2372",35876,233,2013
17,55,"23721",35876,233,2013
17,55,"2379",21179,303,2013
17,55,"23799",21179,303,2013
17,55,"238",2574210,58685,2013
17,55,"2381",374668,8041,2013
17,55,"2382",528225,11025,2013
17,55,"23821",199629,4880,2013
17,55,"23822",282807,5257,2013
17,55,"23829",26936,556,2013
17,55,"2383",894331,23342,2013
17,55,"2389",764732,15970,2013
17,55,"484",3051908,35936,2013
17,55,"4841",2944838,34314,2013
17,55,"48411",668734,8989,2013
17,55,"4842",93381,1464,2013
17,55,"4853",615023,18581,2013
17,57,"23",4559957,91006,2013
17,57,"236",1890901,31148,2013
17,57,"2361",1713160,28345,2013
17,57,"237",85386,1033,2013
17,57,"2371",3849,90,2013
17,57,"2372",35876,233,2013
17,57,"23721",35876,233,2013
17,57,"2373",7950,143,2013
17,57,"23731",7950,143,2013
17,57,"2379",21179,303,2013
17,57,"23799",21179,303,2013
17,57,"238",2574210,58685,2013
17,57,"2381",374668,8041,2013
17,57,"2382",528225,11025,2013
17,57,"23821",199629,4880,2013
17,57,"23822",282807,5257,2013
17,57,"23829",26936,556,2013
17,57,"2383",894331,23342,2013
17,57,"2389",764732,15970,2013
17,57,"484",3051908,35936,2013
17,57,"4841",2944838,34314,2013
17,57,"48411",668734,8989,2013
17,57,"4842",93381,1464,2013
17,57,"4853",615023,18581,2013
17,59,"23",4559957,91006,2013
17,59,"236",1890901,31148,2013
17,59,"2361",1713160,28345,2013
17,59,"238",2574210,58685,2013
17,59,"2381",374668,8041,2013
17,59,"2382",528225,11025,2013
17,59,"23821",199629,4880,2013
17,59,"23822",282807,5257,2013
17,59,"2383",894331,23342,2013
17,59,"2389",764732,15970,2013
17,59,"484",3051908,35936,2013
17,59,"4841",2944838,34314,2013
17,59,"48411",668734,8989,2013
17,61,"23",4559957,91006,2013
17,61,"236",1890901,31148,2013
17,61,"2361",1713160,28345,2013
17,61,"237",85386,1033,2013
17,61,"2373",7950,143,2013
17,61,"23731",7950,143,2013
17,61,"238",2574210,58685,2013
17,61,"2381",374668,8041,2013
17,61,"2382",528225,11025,2013
17,61,"23821",199629,4880,2013
17,61,"23822",282807,5257,2013
17,61,"23829",26936,556,2013
17,61,"2383",894331,23342,2013
17,61,"2389",764732,15970,2013
17,61,"484",3051908,35936,2013
17,61,"4841",2944838,34314,2013
17,61,"48411",668734,8989,2013
17,61,"4842",93381,1464,2013
17,61,"4853",615023,18581,2013
17,63,"23",4559957,91006,2013
17,63,"236",1890901,31148,2013
17,63,"2361",1713160,28345,2013
17,63,"237",85386,1033,2013
17,63,"2371",3849,90,2013
17,63,"2373",7950,143,2013
17,63,"23731",7950,143,2013
17,63,"2379",21179,303,2013
17,63,"23799",21179,303,2013
17,63,"238",2574210,58685,2013
17,63,"2381",374668,8041,2013
17,63,"2382",528225,11025,2013
17,63,"23821",199629,4880,2013
17,63,"23822",282807,5257,2013
17,63,"23829",26936,556,2013
17,63,"2383",894331,23342,2013
17,63,"2389",764732,15970,2013
17,63,"484",3051908,35936,2013
17,63,"4841",2944838,34314,2013
17,63,"48411",668734,8989,2013
17,63,"4842",93381,1464,2013
17,63,"4853",615023,18581,2013
17,65,"23",4559957,91006,2013
17,65,"236",1890901,31148,2013
17,65,"2361",1713160,28345,2013
17,65,"238",2574210,58685,2013
17,65,"2381",374668,8041,2013
17,65,"2382",528225,11025,2013
17,65,"23821",199629,4880,2013
17,65,"23822",282807,5257,2013
17,65,"23829",26936,556,2013
17,65,"2383",894331,23342,2013
17,65,"2389",764732,15970,2013
17,65,"484",3051908,35936,2013
17,65,"4841",2944838,34314,2013
17,65,"48411",668734,8989,2013
17,65,"4853",615023,18581,2013
17,67,"23",4559957,91006,2013
17,67,"236",1890901,31148,2013
17,67,"2361",1713160,28345,2013
17,67,"237",85386,1033,2013
17,67,"2372",35876,233,2013
17,67,"23721",35876,233,2013
17,67,"2373",7950,143,2013
17,67,"23731",7950,143,2013
17,67,"2379",21179,303,2013
17,67,"23799",21179,303,2013
17,67,"238",2574210,58685,2013
17,67,"2381",374668,8041,2013
17,67,"2382",528225,11025,2013
17,67,"23821",199629,4880,2013
17,67,"23822",282807,5257,2013
17,67,"2383",894331,23342,2013
17,67,"2389",764732,15970,2013
17,67,"484",3051908,35936,2013
17,67,"4841",2944838,34314,2013
17,67,"48411",668734,8989,2013
17,67,"4842",93381,1464,2013
17,69,"23",4559957,91006,2013
17,69,"236",1890901,31148,2013
17,69,"2361",1713160,28345,2013
17,69,"237",85386,1033,2013
17,69,"2379",21179,303,2013
17,69,"23799",21179,303,2013
17,69,"238",2574210,58685,2013
17,69,"2381",374668,8041,2013
17,69,"2382",528225,11025,2013
17,69,"23821",199629,4880,2013
17,69,"23822",282807,5257,2013
17,69,"2383",894331,23342,2013
17,69,"2389",764732,15970,2013
17,69,"484",3051908,35936,2013
17,69,"4841",2944838,34314,2013
17,69,"48411",668734,8989,2013
17,69,"4853",615023,18581,2013
17,71,"23",4559957,91006,2013
17,71,"236",1890901,31148,2013
17,71,"2361",1713160,28345,2013
17,71,"237",85386,1033,2013
17,71,"2371",3849,90,2013
17,71,"2372",35876,233,2013
17,71,"23721",35876,233,2013
17,71,"2379",21179,303,2013
17,71,"23799",21179,303,2013
17,71,"238",2574210,58685,2013
17,71,"2381",374668,8041,2013
17,71,"2382",528225,11025,2013
17,71,"23821",199629,4880,2013
17,71,"23822",282807,5257,2013
17,71,"2383",894331,23342,2013
17,71,"2389",764732,15970,2013
17,71,"484",3051908,35936,2013
17,71,"4841",2944838,34314,2013
17,71,"48411",668734,8989,2013
17,71,"4842",93381,1464,2013
17,71,"4853",615023,18581,2013
17,73,"23",4559957,91006,2013
17,73,"236",1890901,31148,2013
17,73,"2361",1713160,28345,2013
17,73,"237",85386,1033,2013
17,73,"2371",3849,90,2013
17,73,"2372",35876,233,2013
17,73,"23721",35876,233,2013
17,73,"2373",7950,143,2013
17,73,"23731",7950,143,2013
17,73,"2379",21179,303,2013
17,73,"23799",21179,303,2013
17,73,"238",2574210,58685,2013
17,73,"2381",374668,8041,2013
17,73,"2382",528225,11025,2013
17,73,"23821",199629,4880,2013
17,73,"23822",282807,5257,2013
17,73,"23829",26936,556,2013
17,73,"2383",894331,23342,2013
17,73,"2389",764732,15970,2013
17,73,"484",3051908,35936,2013
17,73,"4841",2944838,34314,2013
17,73,"48411",668734,8989,2013
17,73,"4842",93381,1464,2013
17,73,"4853",615023,18581,2013
17,75,"23",4559957,91006,2013
17,75,"236",1890901,31148,2013
17,75,"2361",1713160,28345,2013
17,75,"237",85386,1033,2013
17,75,"2372",35876,233,2013
17,75,"23721",35876,233,2013
17,75,"2373",7950,143,2013
17,75,"23731",7950,143,2013
17,75,"2379",21179,303,2013
17,75,"23799",21179,303,2013
17,75,"238",2574210,58685,2013
17,75,"2381",374668,8041,2013
17,75,"2382",528225,11025,2013
17,75,"23821",199629,4880,2013
17,75,"23822",282807,5257,2013
17,75,"23829",26936,556,2013
17,75,"2383",894331,23342,2013
17,75,"2389",764732,15970,2013
17,75,"484",3051908,35936,2013
17,75,"4841",2944838,34314,2013
17,75,"48411",668734,8989,2013
17,75,"4842",93381,1464,2013
17,75,"4853",615023,18581,2013
17,77,"23",4559957,91006,2013
17,77,"236",1890901,31148,2013
17,77,"2361",1713160,28345,2013
17,77,"237",85386,1033,2013
17,77,"2372",35876,233,2013
17,77,"23721",35876,233,2013
17,77,"2373",7950,143,2013
17,77,"23731",7950,143,2013
17,77,"2379",21179,303,2013
17,77,"23799",21179,303,2013
17,77,"238",2574210,58685,2013
17,77,"2381",374668,8041,2013
17,77,"2382",528225,11025,2013
17,77,"23821",199629,4880,2013
17,77,"23822",282807,5257,2013
17,77,"23829",26936,556,2013
17,77,"2383",894331,23342,2013
17,77,"2389",764732,15970,2013
17,77,"484",3051908,35936,2013
17,77,"4841",2944838,34314,2013
17,77,"48411",668734,8989,2013
17,77,"4842",93381,1464,2013
17,77,"4853",615023,18581,2013
17,79,"23",4559957,91006,2013
17,79,"236",1890901,31148,2013
17,79,"2361",1713160,28345,2013
17,79,"237",85386,1033,2013
17,79,"2371",3849,90,2013
17,79,"2379",21179,303,2013
17,79,"23799",21179,303,2013
17,79,"238",2574210,58685,2013
17,79,"2381",374668,8041,2013
17,79,"2382",528225,11025,2013
17,79,"23821",199629,4880,2013
17,79,"23822",282807,5257,2013
17,79,"23829",26936,556,2013
17,79,"2383",894331,23342,2013
17,79,"2389",764732,15970,2013
17,79,"484",3051908,35936,2013
17,79,"4841",2944838,34314,2013
17,79,"48411",668734,8989,2013
17,79,"4842",93381,1464,2013
17,81,"23",4559957,91006,2013
17,81,"236",1890901,31148,2013
17,81,"2361",1713160,28345,2013
17,81,"237",85386,1033,2013
17,81,"2372",35876,233,2013
17,81,"23721",35876,233,2013
17,81,"238",2574210,58685,2013
17,81,"2381",374668,8041,2013
17,81,"2382",528225,11025,2013
17,81,"23821",199629,4880,2013
17,81,"23822",282807,5257,2013
17,81,"23829",26936,556,2013
17,81,"2383",894331,23342,2013
17,81,"2389",764732,15970,2013
17,81,"484",3051908,35936,2013
17,81,"4841",2944838,34314,2013
17,81,"48411",668734,8989,2013
17,81,"4842",93381,1464,2013
17,81,"4853",615023,18581,2013
17,83,"23",4559957,91006,2013
17,83,"236",1890901,31148,2013
17,83,"2361",1713160,28345,2013
17,83,"237",85386,1033,2013
17,83,"2372",35876,233,2013
17,83,"23721",35876,233,2013
17,83,"2379",21179,303,2013
17,83,"23799",21179,303,2013
17,83,"238",2574210,58685,2013
17,83,"2381",374668,8041,2013
17,83,"2382",528225,11025,2013
17,83,"23821",199629,4880,2013
17,83,"23822",282807,5257,2013
17,83,"2383",894331,23342,2013
17,83,"2389",764732,15970,2013
17,83,"484",3051908,35936,2013
17,83,"4841",2944838,34314,2013
17,83,"48411",668734,8989,2013
17,83,"4842",93381,1464,2013
17,83,"4853",615023,18581,2013
17,85,"23",4559957,91006,2013
17,85,"236",1890901,31148,2013
17,85,"2361",1713160,28345,2013
17,85,"237",85386,1033,2013
17,85,"2371",3849,90,2013
17,85,"2372",35876,233,2013
17,85,"23721",35876,233,2013
17,85,"2373",7950,143,2013
17,85,"23731",7950,143,2013
17,85,"2379",21179,303,2013
17,85,"23799",21179,303,2013
17,85,"238",2574210,58685,2013
17,85,"2381",374668,8041,2013
17,85,"2382",528225,11025,2013
17,85,"23821",199629,4880,2013
17,85,"23822",282807,5257,2013
17,85,"23829",26936,556,2013
17,85,"2383",894331,23342,2013
17,85,"2389",764732,15970,2013
17,85,"484",3051908,35936,2013
17,85,"4841",2944838,34314,2013
17,85,"48411",668734,8989,2013
17,85,"4842",93381,1464,2013
17,85,"4853",615023,18581,2013
17,87,"23",4559957,91006,2013
17,87,"236",1890901,31148,2013
17,87,"2361",1713160,28345,2013
17,87,"237",85386,1033,2013
17,87,"2379",21179,303,2013
17,87,"23799",21179,303,2013
17,87,"238",2574210,58685,2013
17,87,"2381",374668,8041,2013
17,87,"2382",528225,11025,2013
17,87,"23821",199629,4880,2013
17,87,"23822",282807,5257,2013
17,87,"23829",26936,556,2013
17,87,"2383",894331,23342,2013
17,87,"2389",764732,15970,2013
17,87,"484",3051908,35936,2013
17,87,"4841",2944838,34314,2013
17,87,"48411",668734,8989,2013
17,87,"4842",93381,1464,2013
17,89,"23",4559957,91006,2013
17,89,"236",1890901,31148,2013
17,89,"2361",1713160,28345,2013
17,89,"237",85386,1033,2013
17,89,"2371",3849,90,2013
17,89,"2372",35876,233,2013
17,89,"23721",35876,233,2013
17,89,"2373",7950,143,2013
17,89,"23731",7950,143,2013
17,89,"2379",21179,303,2013
17,89,"23799",21179,303,2013
17,89,"238",2574210,58685,2013
17,89,"2381",374668,8041,2013
17,89,"2382",528225,11025,2013
17,89,"23821",199629,4880,2013
17,89,"23822",282807,5257,2013
17,89,"23829",26936,556,2013
17,89,"2383",894331,23342,2013
17,89,"2389",764732,15970,2013
17,89,"484",3051908,35936,2013
17,89,"4841",2944838,34314,2013
17,89,"48411",668734,8989,2013
17,89,"4842",93381,1464,2013
17,89,"4853",615023,18581,2013
17,91,"23",4559957,91006,2013
17,91,"236",1890901,31148,2013
17,91,"2361",1713160,28345,2013
17,91,"237",85386,1033,2013
17,91,"2372",35876,233,2013
17,91,"23721",35876,233,2013
17,91,"2373",7950,143,2013
17,91,"23731",7950,143,2013
17,91,"2379",21179,303,2013
17,91,"23799",21179,303,2013
17,91,"238",2574210,58685,2013
17,91,"2381",374668,8041,2013
17,91,"2382",528225,11025,2013
17,91,"23821",199629,4880,2013
17,91,"23822",282807,5257,2013
17,91,"23829",26936,556,2013
17,91,"2383",894331,23342,2013
17,91,"2389",764732,15970,2013
17,91,"484",3051908,35936,2013
17,91,"4841",2944838,34314,2013
17,91,"48411",668734,8989,2013
17,91,"4842",93381,1464,2013
17,91,"4853",615023,18581,2013
17,93,"23",4559957,91006,2013
17,93,"236",1890901,31148,2013
17,93,"2361",1713160,28345,2013
17,93,"237",85386,1033,2013
17,93,"2371",3849,90,2013
17,93,"2372",35876,233,2013
17,93,"23721",35876,233,2013
17,93,"2373",7950,143,2013
17,93,"23731",7950,143,2013
17,93,"2379",21179,303,2013
17,93,"23799",21179,303,2013
17,93,"238",2574210,58685,2013
17,93,"2381",374668,8041,2013
17,93,"2382",528225,11025,2013
17,93,"23821",199629,4880,2013
17,93,"23822",282807,5257,2013
17,93,"23829",26936,556,2013
17,93,"2383",894331,23342,2013
17,93,"2389",764732,15970,2013
17,93,"484",3051908,35936,2013
17,93,"4841",2944838,34314,2013
17,93,"48411",668734,8989,2013
17,93,"4842",93381,1464,2013
17,93,"4853",615023,18581,2013
17,95,"23",4559957,91006,2013
17,95,"236",1890901,31148,2013
17,95,"2361",1713160,28345,2013
17,95,"237",85386,1033,2013
17,95,"2371",3849,90,2013
17,95,"2379",21179,303,2013
17,95,"23799",21179,303,2013
17,95,"238",2574210,58685,2013
17,95,"2381",374668,8041,2013
17,95,"2382",528225,11025,2013
17,95,"23821",199629,4880,2013
17,95,"23822",282807,5257,2013
17,95,"23829",26936,556,2013
17,95,"2383",894331,23342,2013
17,95,"2389",764732,15970,2013
17,95,"484",3051908,35936,2013
17,95,"4841",2944838,34314,2013
17,95,"48411",668734,8989,2013
17,95,"4842",93381,1464,2013
17,95,"4853",615023,18581,2013
17,97,"23",4559957,91006,2013
17,97,"236",1890901,31148,2013
17,97,"2361",1713160,28345,2013
17,97,"237",85386,1033,2013
17,97,"2371",3849,90,2013
17,97,"2372",35876,233,2013
17,97,"23721",35876,233,2013
17,97,"2373",7950,143,2013
17,97,"23731",7950,143,2013
17,97,"2379",21179,303,2013
17,97,"23799",21179,303,2013
17,97,"238",2574210,58685,2013
17,97,"2381",374668,8041,2013
17,97,"2382",528225,11025,2013
17,97,"23821",199629,4880,2013
17,97,"23822",282807,5257,2013
17,97,"23829",26936,556,2013
17,97,"2383",894331,23342,2013
17,97,"2389",764732,15970,2013
17,97,"484",3051908,35936,2013
17,97,"4841",2944838,34314,2013
17,97,"48411",668734,8989,2013
17,97,"4842",93381,1464,2013
17,97,"4853",615023,18581,2013
17,99,"23",4559957,91006,2013
17,99,"236",1890901,31148,2013
17,99,"2361",1713160,28345,2013
17,99,"237",85386,1033,2013
17,99,"2371",3849,90,2013
17,99,"2372",35876,233,2013
17,99,"23721",35876,233,2013
17,99,"2373",7950,143,2013
17,99,"23731",7950,143,2013
17,99,"2379",21179,303,2013
17,99,"23799",21179,303,2013
17,99,"238",2574210,58685,2013
17,99,"2381",374668,8041,2013
17,99,"2382",528225,11025,2013
17,99,"23821",199629,4880,2013
17,99,"23822",282807,5257,2013
17,99,"23829",26936,556,2013
17,99,"2383",894331,23342,2013
17,99,"2389",764732,15970,2013
17,99,"484",3051908,35936,2013
17,99,"4841",2944838,34314,2013
17,99,"48411",668734,8989,2013
17,99,"4842",93381,1464,2013
17,99,"4853",615023,18581,2013
17,101,"23",4559957,91006,2013
17,101,"236",1890901,31148,2013
17,101,"2361",1713160,28345,2013
17,101,"237",85386,1033,2013
17,101,"2372",35876,233,2013
17,101,"23721",35876,233,2013
17,101,"2379",21179,303,2013
17,101,"23799",21179,303,2013
17,101,"238",2574210,58685,2013
17,101,"2381",374668,8041,2013
17,101,"2382",528225,11025,2013
17,101,"23821",199629,4880,2013
17,101,"23822",282807,5257,2013
17,101,"23829",26936,556,2013
17,101,"2383",894331,23342,2013
17,101,"2389",764732,15970,2013
17,101,"484",3051908,35936,2013
17,101,"4841",2944838,34314,2013
17,101,"48411",668734,8989,2013
17,101,"4842",93381,1464,2013
17,103,"23",4559957,91006,2013
17,103,"236",1890901,31148,2013
17,103,"2361",1713160,28345,2013
17,103,"237",85386,1033,2013
17,103,"2373",7950,143,2013
17,103,"23731",7950,143,2013
17,103,"2379",21179,303,2013
17,103,"23799",21179,303,2013
17,103,"238",2574210,58685,2013
17,103,"2381",374668,8041,2013
17,103,"2382",528225,11025,2013
17,103,"23821",199629,4880,2013
17,103,"23822",282807,5257,2013
17,103,"23829",26936,556,2013
17,103,"2383",894331,23342,2013
17,103,"2389",764732,15970,2013
17,103,"484",3051908,35936,2013
17,103,"4841",2944838,34314,2013
17,103,"48411",668734,8989,2013
17,103,"4842",93381,1464,2013
17,103,"4853",615023,18581,2013
17,105,"23",4559957,91006,2013
17,105,"236",1890901,31148,2013
17,105,"2361",1713160,28345,2013
17,105,"237",85386,1033,2013
17,105,"2371",3849,90,2013
17,105,"2372",35876,233,2013
17,105,"23721",35876,233,2013
17,105,"238",2574210,58685,2013
17,105,"2381",374668,8041,2013
17,105,"2382",528225,11025,2013
17,105,"23821",199629,4880,2013
17,105,"23822",282807,5257,2013
17,105,"23829",26936,556,2013
17,105,"2383",894331,23342,2013
17,105,"2389",764732,15970,2013
17,105,"484",3051908,35936,2013
17,105,"4841",2944838,34314,2013
17,105,"48411",668734,8989,2013
17,105,"4842",93381,1464,2013
17,105,"4853",615023,18581,2013
17,107,"23",4559957,91006,2013
17,107,"236",1890901,31148,2013
17,107,"2361",1713160,28345,2013
17,107,"237",85386,1033,2013
17,107,"2372",35876,233,2013
17,107,"23721",35876,233,2013
17,107,"238",2574210,58685,2013
17,107,"2381",374668,8041,2013
17,107,"2382",528225,11025,2013
17,107,"23821",199629,4880,2013
17,107,"23822",282807,5257,2013
17,107,"23829",26936,556,2013
17,107,"2383",894331,23342,2013
17,107,"2389",764732,15970,2013
17,107,"484",3051908,35936,2013
17,107,"4841",2944838,34314,2013
17,107,"48411",668734,8989,2013
17,107,"4842",93381,1464,2013
17,107,"4853",615023,18581,2013
17,109,"23",4559957,91006,2013
17,109,"236",1890901,31148,2013
17,109,"2361",1713160,28345,2013
17,109,"237",85386,1033,2013
17,109,"2372",35876,233,2013
17,109,"23721",35876,233,2013
17,109,"2373",7950,143,2013
17,109,"23731",7950,143,2013
17,109,"2379",21179,303,2013
17,109,"23799",21179,303,2013
17,109,"238",2574210,58685,2013
17,109,"2381",374668,8041,2013
17,109,"2382",528225,11025,2013
17,109,"23821",199629,4880,2013
17,109,"23822",282807,5257,2013
17,109,"23829",26936,556,2013
17,109,"2383",894331,23342,2013
17,109,"2389",764732,15970,2013
17,109,"484",3051908,35936,2013
17,109,"4841",2944838,34314,2013
17,109,"48411",668734,8989,2013
17,109,"4842",93381,1464,2013
17,109,"4853",615023,18581,2013
17,111,"23",4559957,91006,2013
17,111,"236",1890901,31148,2013
17,111,"2361",1713160,28345,2013
17,111,"237",85386,1033,2013
17,111,"2371",3849,90,2013
17,111,"2372",35876,233,2013
17,111,"23721",35876,233,2013
17,111,"2373",7950,143,2013
17,111,"23731",7950,143,2013
17,111,"2379",21179,303,2013
17,111,"23799",21179,303,2013
17,111,"238",2574210,58685,2013
17,111,"2381",374668,8041,2013
17,111,"2382",528225,11025,2013
17,111,"23821",199629,4880,2013
17,111,"23822",282807,5257,2013
17,111,"23829",26936,556,2013
17,111,"2383",894331,23342,2013
17,111,"2389",764732,15970,2013
17,111,"484",3051908,35936,2013
17,111,"4841",2944838,34314,2013
17,111,"48411",668734,8989,2013
17,111,"4842",93381,1464,2013
17,111,"4853",615023,18581,2013
17,113,"23",4559957,91006,2013
17,113,"236",1890901,31148,2013
17,113,"2361",1713160,28345,2013
17,113,"237",85386,1033,2013
17,113,"2372",35876,233,2013
17,113,"23721",35876,233,2013
17,113,"2373",7950,143,2013
17,113,"23731",7950,143,2013
17,113,"2379",21179,303,2013
17,113,"23799",21179,303,2013
17,113,"238",2574210,58685,2013
17,113,"2381",374668,8041,2013
17,113,"2382",528225,11025,2013
17,113,"23821",199629,4880,2013
17,113,"23822",282807,5257,2013
17,113,"23829",26936,556,2013
17,113,"2383",894331,23342,2013
17,113,"2389",764732,15970,2013
17,113,"484",3051908,35936,2013
17,113,"4841",2944838,34314,2013
17,113,"48411",668734,8989,2013
17,113,"4842",93381,1464,2013
17,113,"4853",615023,18581,2013
17,115,"23",4559957,91006,2013
17,115,"236",1890901,31148,2013
17,115,"2361",1713160,28345,2013
17,115,"237",85386,1033,2013
17,115,"2372",35876,233,2013
17,115,"23721",35876,233,2013
17,115,"2373",7950,143,2013
17,115,"23731",7950,143,2013
17,115,"2379",21179,303,2013
17,115,"23799",21179,303,2013
17,115,"238",2574210,58685,2013
17,115,"2381",374668,8041,2013
17,115,"2382",528225,11025,2013
17,115,"23821",199629,4880,2013
17,115,"23822",282807,5257,2013
17,115,"23829",26936,556,2013
17,115,"2383",894331,23342,2013
17,115,"2389",764732,15970,2013
17,115,"484",3051908,35936,2013
17,115,"4841",2944838,34314,2013
17,115,"48411",668734,8989,2013
17,115,"4842",93381,1464,2013
17,115,"4853",615023,18581,2013
17,117,"23",4559957,91006,2013
17,117,"236",1890901,31148,2013
17,117,"2361",1713160,28345,2013
17,117,"237",85386,1033,2013
17,117,"2373",7950,143,2013
17,117,"23731",7950,143,2013
17,117,"2379",21179,303,2013
17,117,"23799",21179,303,2013
17,117,"238",2574210,58685,2013
17,117,"2381",374668,8041,2013
17,117,"2382",528225,11025,2013
17,117,"23821",199629,4880,2013
17,117,"23822",282807,5257,2013
17,117,"23829",26936,556,2013
17,117,"2383",894331,23342,2013
17,117,"2389",764732,15970,2013
17,117,"484",3051908,35936,2013
17,117,"4841",2944838,34314,2013
17,117,"48411",668734,8989,2013
17,117,"4842",93381,1464,2013
17,117,"4853",615023,18581,2013
17,119,"23",4559957,91006,2013
17,119,"236",1890901,31148,2013
17,119,"2361",1713160,28345,2013
17,119,"237",85386,1033,2013
17,119,"2372",35876,233,2013
17,119,"23721",35876,233,2013
17,119,"2373",7950,143,2013
17,119,"23731",7950,143,2013
17,119,"2379",21179,303,2013
17,119,"23799",21179,303,2013
17,119,"238",2574210,58685,2013
17,119,"2381",374668,8041,2013
17,119,"2382",528225,11025,2013
17,119,"23821",199629,4880,2013
17,119,"23822",282807,5257,2013
17,119,"23829",26936,556,2013
17,119,"2383",894331,23342,2013
17,119,"2389",764732,15970,2013
17,119,"484",3051908,35936,2013
17,119,"4841",2944838,34314,2013
17,119,"48411",668734,8989,2013
17,119,"4842",93381,1464,2013
17,119,"4853",615023,18581,2013
17,121,"23",4559957,91006,2013
17,121,"236",1890901,31148,2013
17,121,"2361",1713160,28345,2013
17,121,"237",85386,1033,2013
17,121,"2372",35876,233,2013
17,121,"23721",35876,233,2013
17,121,"2379",21179,303,2013
17,121,"23799",21179,303,2013
17,121,"238",2574210,58685,2013
17,121,"2381",374668,8041,2013
17,121,"2382",528225,11025,2013
17,121,"23821",199629,4880,2013
17,121,"23822",282807,5257,2013
17,121,"23829",26936,556,2013
17,121,"2383",894331,23342,2013
17,121,"2389",764732,15970,2013
17,121,"484",3051908,35936,2013
17,121,"4841",2944838,34314,2013
17,121,"48411",668734,8989,2013
17,121,"4842",93381,1464,2013
17,121,"4853",615023,18581,2013
17,123,"23",4559957,91006,2013
17,123,"236",1890901,31148,2013
17,123,"2361",1713160,28345,2013
17,123,"238",2574210,58685,2013
17,123,"2381",374668,8041,2013
17,123,"2382",528225,11025,2013
17,123,"23821",199629,4880,2013
17,123,"23822",282807,5257,2013
17,123,"23829",26936,556,2013
17,123,"2383",894331,23342,2013
17,123,"2389",764732,15970,2013
17,123,"484",3051908,35936,2013
17,123,"4841",2944838,34314,2013
17,123,"48411",668734,8989,2013
17,123,"4842",93381,1464,2013
17,123,"4853",615023,18581,2013
17,125,"23",4559957,91006,2013
17,125,"236",1890901,31148,2013
17,125,"2361",1713160,28345,2013
17,125,"237",85386,1033,2013
17,125,"2371",3849,90,2013
